epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
33,1150.73,2.20501,1.25713,0.99054,0.53568,0.36266,0.3775,0.23052,2.44165,1.48666,1.05922,0.0006832,0.0006832,0.0006832
34,1185.66,2.14869,1.22545,0.99286,0.49806,0.38141,0.38096,0.22549,2.40993,1.41095,1.06186,0.0006733,0.0006733,0.0006733
35,1220.68,2.20458,1.23065,1.00574,0.50834,0.38721,0.38247,0.22985,2.43063,1.38404,1.06144,0.0006634,0.0006634,0.0006634
36,1255.54,2.19486,1.23073,1.00756,0.52552,0.39328,0.39319,0.24496,2.39267,1.36942,1.04943,0.0006535,0.0006535,0.0006535
37,1289.8,2.09319,1.17277,0.97796,0.58291,0.37982,0.38642,0.24623,2.37245,1.35341,1.05884,0.0006436,0.0006436,0.0006436
38,1324.52,2.12572,1.22357,1.00002,0.58291,0.37982,0.38642,0.24623,2.37245,1.35341,1.05884,0.0006337,0.0006337,0.0006337
39,1359.44,2.08198,1.17303,0.97911,0.51848,0.39336,0.38506,0.24548,2.41354,1.35896,1.06485,0.0006238,0.0006238,0.0006238
40,1394.07,2.12612,1.17712,0.98616,0.56277,0.36111,0.37834,0.24422,2.3923,1.36904,1.06079,0.0006139,0.0006139,0.0006139
41,1432.36,2.15265,1.19791,0.98138,0.56504,0.35467,0.38107,0.2487,2.35212,1.36762,1.04748,0.000604,0.000604,0.000604
42,1469.85,2.16511,1.22945,1.00069,0.57089,0.35152,0.36848,0.23335,2.44877,1.41481,1.05725,0.0005941,0.0005941,0.0005941
43,1504,2.12778,1.18333,0.97118,0.55796,0.36377,0.37619,0.2398,2.42558,1.39885,1.05824,0.0005842,0.0005842,0.0005842
44,1537.74,2.05324,1.1483,0.96261,0.57977,0.37244,0.37814,0.24519,2.37365,1.35847,1.04996,0.0005743,0.0005743,0.0005743
45,1572.23,2.10963,1.17003,0.97885,0.57436,0.3625,0.376,0.24277,2.3954,1.35456,1.05503,0.0005644,0.0005644,0.0005644
46,1606.75,2.20046,1.20524,0.99279,0.57436,0.3625,0.376,0.24277,2.3954,1.35456,1.05503,0.0005545,0.0005545,0.0005545
47,1641.31,2.09513,1.15324,0.97167,0.5254,0.37425,0.36701,0.24809,2.34348,1.32688,1.0433,0.0005446,0.0005446,0.0005446
48,1675.13,2.05479,1.1729,0.97457,0.5875,0.37913,0.37481,0.25009,2.31964,1.32856,1.04184,0.0005347,0.0005347,0.0005347
49,1706.18,2.08263,1.17507,0.99141,0.49998,0.38533,0.37358,0.25209,2.3343,1.32628,1.05115,0.0005248,0.0005248,0.0005248
50,1746.54,2.06269,1.16019,0.99303,0.5546,0.39266,0.38681,0.24529,2.39103,1.37243,1.0569,0.0005149,0.0005149,0.0005149
51,1788.02,2.14097,1.17098,0.96823,0.58923,0.36422,0.36263,0.22807,2.48624,1.4052,1.08039,0.000505,0.000505,0.000505
52,1827.23,2.13852,1.18702,0.9887,0.54653,0.36518,0.36361,0.23213,2.45091,1.3817,1.07684,0.0004951,0.0004951,0.0004951
53,1867.02,2.07543,1.12504,0.9659,0.58219,0.35643,0.37727,0.24855,2.35912,1.33564,1.05457,0.0004852,0.0004852,0.0004852
54,1906.66,2.04617,1.11346,0.95879,0.58219,0.35643,0.37727,0.24855,2.35912,1.33564,1.05457,0.0004753,0.0004753,0.0004753
55,1946.75,2.1281,1.15609,0.97166,0.57429,0.36223,0.38175,0.24439,2.40944,1.33791,1.07075,0.0004654,0.0004654,0.0004654
56,1987.01,2.00618,1.09218,0.96964,0.59725,0.36385,0.38765,0.2402,2.43703,1.33925,1.074,0.0004555,0.0004555,0.0004555
57,2026.91,2.07999,1.14446,0.97305,0.57695,0.37096,0.38821,0.24598,2.41224,1.32045,1.06246,0.0004456,0.0004456,0.0004456
58,2067.33,2.02855,1.11775,0.9645,0.60322,0.37152,0.38494,0.24723,2.43028,1.33433,1.06236,0.0004357,0.0004357,0.0004357
59,2106.28,1.9871,1.13196,0.95243,0.55503,0.36772,0.38692,0.25527,2.37691,1.32325,1.04913,0.0004258,0.0004258,0.0004258
60,2145.58,2.0194,1.12356,0.98694,0.54968,0.38615,0.38702,0.25831,2.31935,1.33466,1.04543,0.0004159,0.0004159,0.0004159
61,2185.14,1.9235,1.0501,0.94844,0.51449,0.38398,0.374,0.24726,2.37149,1.37417,1.0616,0.000406,0.000406,0.000406
62,2224.74,1.9888,1.08585,0.96086,0.51449,0.38398,0.374,0.24726,2.37149,1.37417,1.0616,0.0003961,0.0003961,0.0003961
63,2264.07,2.01455,1.12988,0.96605,0.50164,0.33794,0.36834,0.22919,2.45104,1.41694,1.06952,0.0003862,0.0003862,0.0003862
64,2303.62,1.98781,1.09018,0.96264,0.58885,0.33931,0.37143,0.23408,2.44137,1.38266,1.06816,0.0003763,0.0003763,0.0003763
65,2343.63,1.9205,1.08352,0.95792,0.53825,0.38167,0.38646,0.25796,2.33208,1.31762,1.04686,0.0003664,0.0003664,0.0003664
66,2384.52,2.00896,1.08837,0.94576,0.54625,0.39217,0.39328,0.25876,2.29339,1.30345,1.04182,0.0003565,0.0003565,0.0003565
67,2424.75,1.94603,1.042,0.93165,0.54201,0.39157,0.39071,0.24989,2.33639,1.32124,1.05817,0.0003466,0.0003466,0.0003466
68,2464.03,1.93436,1.0464,0.94849,0.54515,0.3969,0.39612,0.23954,2.37675,1.31031,1.06328,0.0003367,0.0003367,0.0003367
69,2503.82,1.97148,1.06933,0.95693,0.54101,0.40364,0.39707,0.23941,2.35519,1.29913,1.05662,0.0003268,0.0003268,0.0003268
70,2543.5,1.95619,1.05566,0.93096,0.54101,0.40364,0.39707,0.23941,2.35519,1.29913,1.05662,0.0003169,0.0003169,0.0003169
71,2582.87,1.95876,1.0621,0.955,0.56102,0.39847,0.3953,0.24731,2.29208,1.27965,1.04082,0.000307,0.000307,0.000307
72,2622.65,1.91009,1.02491,0.95494,0.54194,0.39474,0.39748,0.24921,2.28145,1.27157,1.04603,0.0002971,0.0002971,0.0002971
73,2661.63,1.91648,1.02061,0.93656,0.55178,0.3832,0.38643,0.24327,2.33397,1.30295,1.05963,0.0002872,0.0002872,0.0002872
74,2701.02,2.0456,1.08121,0.96376,0.57205,0.38384,0.38071,0.248,2.34049,1.31637,1.05968,0.0002773,0.0002773,0.0002773
75,2740.14,1.91635,1.04377,0.93335,0.61534,0.38655,0.38672,0.25041,2.31134,1.30197,1.05393,0.0002674,0.0002674,0.0002674
76,2778.55,1.92711,1.04331,0.95091,0.63561,0.38061,0.38773,0.24714,2.3073,1.28339,1.04856,0.0002575,0.0002575,0.0002575
77,2818.89,1.98684,1.04706,0.93227,0.63175,0.38206,0.38701,0.24392,2.30107,1.27354,1.04675,0.0002476,0.0002476,0.0002476
78,2858.09,2.01891,1.07135,0.93974,0.63175,0.38206,0.38701,0.24392,2.30107,1.27354,1.04675,0.0002377,0.0002377,0.0002377
79,2896.46,1.87512,1.02366,0.9333,0.61039,0.39038,0.38726,0.23728,2.31111,1.27907,1.04873,0.0002278,0.0002278,0.0002278
80,2934.67,1.88251,1.01089,0.93212,0.5788,0.3896,0.38749,0.2409,2.31672,1.27404,1.05201,0.0002179,0.0002179,0.0002179
81,2973.03,1.89577,1.01161,0.92773,0.54678,0.39156,0.38941,0.24506,2.30956,1.26809,1.05084,0.000208,0.000208,0.000208
82,3011.29,1.88126,1.0187,0.93858,0.54746,0.39441,0.39278,0.25084,2.29759,1.25514,1.04869,0.0001981,0.0001981,0.0001981
83,3049.85,1.88552,1.00436,0.92801,0.52787,0.39803,0.39291,0.25175,2.30201,1.25648,1.05194,0.0001882,0.0001882,0.0001882
84,3089.06,1.90114,1.0171,0.92965,0.54342,0.39267,0.39328,0.24913,2.31984,1.26028,1.06398,0.0001783,0.0001783,0.0001783
85,3128.58,1.85016,0.99914,0.9282,0.62031,0.37623,0.39291,0.24324,2.32498,1.26082,1.06862,0.0001684,0.0001684,0.0001684
86,3168.66,1.90575,1.01055,0.94324,0.62031,0.37623,0.39291,0.24324,2.32498,1.26082,1.06862,0.0001585,0.0001585,0.0001585
