epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.3802,2.74016,4.28311,1.40912,0.55684,0.11296,0.11622,0.07584,2.35931,3.11409,1.38171,6e-05,6e-05,6e-05
2,72.3531,2.51133,2.76563,1.18941,0.46262,0.17411,0.21062,0.16305,2.45999,2.62221,1.28049,0.000128713,0.000128713,0.000128713
3,109.271,2.40388,1.97958,1.11065,0.44938,0.24433,0.22777,0.16179,2.56013,2.75872,1.22337,0.00019604,0.00019604,0.00019604
4,145.544,2.38671,1.79369,1.08522,0.49643,0.25787,0.25163,0.16952,2.62144,2.24377,1.18073,0.000261981,0.000261981,0.000261981
5,180.593,2.31343,1.69705,1.07071,0.55216,0.30533,0.26119,0.16515,2.62072,2.02917,1.14824,0.000326536,0.000326536,0.000326536
6,215.817,2.34253,1.60629,1.0844,0.3424,0.29951,0.27079,0.19084,2.57632,1.90595,1.15698,0.000389705,0.000389705,0.000389705
7,250.097,2.26172,1.59515,1.07138,0.3693,0.28823,0.26824,0.18495,2.66816,2.00723,1.16137,0.000451488,0.000451488,0.000451488
8,284.748,2.30289,1.51641,1.0522,0.53727,0.2676,0.26177,0.14965,2.88974,2.46397,1.21076,0.000511885,0.000511885,0.000511885
9,319.527,2.37995,1.5589,1.07365,0.56021,0.2914,0.28455,0.16242,2.72724,2.0831,1.16984,0.000570896,0.000570896,0.000570896
10,354.931,2.33297,1.4663,1.06236,0.56189,0.29834,0.29044,0.16728,2.7701,1.98326,1.18136,0.000628521,0.000628521,0.000628521
11,389.758,2.31696,1.43057,1.0497,0.44401,0.30666,0.30355,0.17811,2.70318,1.8056,1.14426,0.00068476,0.00068476,0.00068476
12,423.829,2.26463,1.43888,1.06087,0.4427,0.26588,0.28601,0.16179,2.85875,1.94883,1.15867,0.000739613,0.000739613,0.000739613
13,459.231,2.35374,1.45929,1.0658,0.46733,0.32979,0.32279,0.17775,2.67967,2.0504,1.1529,0.00079308,0.00079308,0.00079308
14,493.977,2.37135,1.49636,1.09506,0.46733,0.32979,0.32279,0.17775,2.67967,2.0504,1.1529,0.000845161,0.000845161,0.000845161
15,529.062,2.32014,1.45511,1.03132,0.4089,0.37098,0.3303,0.1942,2.63069,1.74548,1.13855,0.0008614,0.0008614,0.0008614
16,562.94,2.26332,1.47162,1.04601,0.36832,0.33652,0.3236,0.18319,2.63784,1.69743,1.14373,0.0008515,0.0008515,0.0008515
17,596.798,2.36378,1.46476,1.03041,0.60877,0.37283,0.34845,0.21293,2.48697,1.60164,1.12389,0.0008416,0.0008416,0.0008416
18,630.961,2.41927,1.42369,1.04916,0.61543,0.3373,0.34368,0.2013,2.52436,1.63671,1.13628,0.0008317,0.0008317,0.0008317
19,664.568,2.30488,1.45183,1.05699,0.59923,0.32078,0.33149,0.2034,2.53766,1.58034,1.12087,0.0008218,0.0008218,0.0008218
20,699.301,2.29568,1.34993,1.0218,0.60383,0.3292,0.34315,0.21114,2.48369,1.61719,1.11292,0.0008119,0.0008119,0.0008119
21,734.571,2.27998,1.3914,1.04748,0.58026,0.33858,0.3249,0.1923,2.58864,1.6335,1.12836,0.000802,0.000802,0.000802
22,769.354,2.3244,1.3507,1.00489,0.58026,0.33858,0.3249,0.1923,2.58864,1.6335,1.12836,0.0007921,0.0007921,0.0007921
23,805.388,2.25335,1.38738,1.04412,0.6365,0.32221,0.33277,0.20557,2.47958,1.58608,1.09605,0.0007822,0.0007822,0.0007822
24,839.706,2.2518,1.34583,1.01289,0.73696,0.26365,0.35573,0.22661,2.44328,1.66658,1.09408,0.0007723,0.0007723,0.0007723
25,874.777,2.23907,1.30999,1.01918,0.66537,0.31881,0.36808,0.22955,2.43354,1.58342,1.08579,0.0007624,0.0007624,0.0007624
26,910.147,2.20946,1.26991,1.02228,0.69797,0.33894,0.36774,0.22399,2.46795,1.52543,1.08438,0.0007525,0.0007525,0.0007525
27,944.59,2.2725,1.29329,0.99484,0.71125,0.33958,0.36964,0.21961,2.53556,1.50044,1.09671,0.0007426,0.0007426,0.0007426
28,978.198,2.20847,1.30956,0.99969,0.65082,0.36286,0.37201,0.23361,2.47193,1.53799,1.09073,0.0007327,0.0007327,0.0007327
29,1012.19,2.19994,1.27977,1.02663,0.61761,0.3587,0.35798,0.19911,2.59121,1.82105,1.11562,0.0007228,0.0007228,0.0007228
30,1046.83,2.24878,1.27771,1.00738,0.61761,0.3587,0.35798,0.19911,2.59121,1.82105,1.11562,0.0007129,0.0007129,0.0007129
31,1081.48,2.27807,1.32447,1.03902,0.66944,0.31937,0.35349,0.20655,2.58835,1.87028,1.09594,0.000703,0.000703,0.000703
32,1116.21,2.16047,1.27659,1.01868,0.72896,0.33066,0.37686,0.23579,2.42955,1.63604,1.05046,0.0006931,0.0006931,0.0006931
