epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.3692,2.74921,4.33066,1.43093,0.0227,0.20566,0.04972,0.02519,2.56103,3.32943,1.5515,6e-05,6e-05,6e-05
2,83.6887,2.52447,2.82862,1.19833,0.43499,0.14996,0.19374,0.14052,2.46404,2.69782,1.39446,0.000129678,0.000129678,0.000129678
3,124.225,2.3604,1.98882,1.12896,0.48784,0.27093,0.24652,0.17817,2.57721,2.72154,1.26751,0.00019901,0.00019901,0.00019901
4,164.464,2.39581,1.89526,1.11805,0.5367,0.30246,0.26527,0.18427,2.70787,2.43897,1.20875,0.000267995,0.000267995,0.000267995
5,202.996,2.31748,1.774,1.09067,0.57706,0.31309,0.28058,0.18078,2.63957,2.13806,1.18565,0.000336634,0.000336634,0.000336634
6,240.84,2.30123,1.6425,1.09768,0.3634,0.33245,0.29799,0.19209,2.60696,2.13487,1.19648,0.000404926,0.000404926,0.000404926
7,278.524,2.29636,1.64454,1.08404,0.38567,0.34161,0.30485,0.18476,2.67835,2.02079,1.19012,0.000472872,0.000472872,0.000472872
8,320.528,2.30203,1.5882,1.05911,0.40327,0.32974,0.30854,0.1967,2.6727,1.94706,1.17336,0.000540471,0.000540471,0.000540471
9,360.935,2.26486,1.53833,1.08115,0.41753,0.34195,0.33341,0.22306,2.53354,1.91178,1.15315,0.000607724,0.000607724,0.000607724
10,402.073,2.34004,1.51522,1.09558,0.41939,0.30843,0.31815,0.2023,2.7255,1.95013,1.19724,0.00067463,0.00067463,0.00067463
11,441.797,2.32587,1.49977,1.07625,0.43954,0.35641,0.35574,0.22754,2.47318,2.40593,1.11013,0.00074119,0.00074119,0.00074119
12,479.994,2.32365,1.44815,1.09162,0.40304,0.36894,0.35366,0.20274,2.61649,2.07917,1.13367,0.000807403,0.000807403,0.000807403
13,521.328,2.3492,1.53359,1.08973,0.43962,0.3741,0.35816,0.19959,2.55076,2.26232,1.14482,0.00087327,0.00087327,0.00087327
14,563.133,2.30081,1.44941,1.09008,0.43962,0.3741,0.35816,0.19959,2.55076,2.26232,1.14482,0.00093879,0.00093879,0.00093879
15,656.192,2.33761,1.44526,1.06559,0.43826,0.33337,0.32881,0.21767,2.43451,6.68214,1.11812,0.00096535,0.00096535,0.00096535
16,747.851,2.31505,1.47545,1.05754,0.31989,0.3853,0.32488,0.1991,2.61338,20.5866,1.15732,0.000962875,0.000962875,0.000962875
17,808.063,2.36309,1.48862,1.06869,0.31625,0.35,0.31377,0.19903,2.61843,8.81314,1.17955,0.0009604,0.0009604,0.0009604
18,845.994,2.37982,1.43167,1.06813,0.47994,0.33276,0.33695,0.21095,2.48964,3.75366,1.15445,0.000957925,0.000957925,0.000957925
