epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,882.601,2.27949,1.4013,1.07864,0.46684,0.31702,0.32298,0.18997,2.61612,2.66656,1.17956,0.00095545,0.00095545,0.00095545
20,920.221,2.28531,1.35496,1.04688,0.47928,0.35268,0.33663,0.19255,2.60806,2.21413,1.16702,0.000952975,0.000952975,0.000952975
21,956.782,2.28361,1.46291,1.06593,0.48061,0.37612,0.37051,0.22665,2.47974,1.74628,1.1143,0.0009505,0.0009505,0.0009505
22,993.324,2.30401,1.39252,1.03138,0.48061,0.37612,0.37051,0.22665,2.47974,1.74628,1.1143,0.000948025,0.000948025,0.000948025
23,1031.05,2.30387,1.44076,1.06195,0.54296,0.34804,0.37133,0.22369,2.57517,1.77285,1.12233,0.00094555,0.00094555,0.00094555
24,1068.2,2.2185,1.34385,1.02079,0.52583,0.37201,0.371,0.22185,2.56298,1.70668,1.09213,0.000943075,0.000943075,0.000943075
25,1105.22,2.2079,1.32954,1.03402,0.54792,0.39056,0.37813,0.23256,2.48746,1.66821,1.09954,0.0009406,0.0009406,0.0009406
26,1142.67,2.20503,1.31247,1.05707,0.57248,0.38541,0.38497,0.22797,2.58399,1.73569,1.13394,0.000938125,0.000938125,0.000938125
27,1179.34,2.28944,1.34147,1.02661,0.61525,0.36798,0.38846,0.22546,2.62078,1.6942,1.14158,0.00093565,0.00093565,0.00093565
28,1215.67,2.26194,1.35038,1.03404,0.57831,0.36105,0.39477,0.22938,2.50888,1.67936,1.12018,0.000933175,0.000933175,0.000933175
29,1251.68,2.17879,1.27793,1.05476,0.57076,0.36499,0.3852,0.22769,2.46903,1.83588,1.11487,0.0009307,0.0009307,0.0009307
30,1287.87,2.25057,1.28243,1.03655,0.57076,0.36499,0.3852,0.22769,2.46903,1.83588,1.11487,0.000928225,0.000928225,0.000928225
31,1324.66,2.27087,1.30792,1.05873,0.57108,0.38393,0.38276,0.23166,2.5304,1.72837,1.10218,0.00092575,0.00092575,0.00092575
32,1361.03,2.15097,1.28922,1.04016,0.51682,0.39915,0.39528,0.24735,2.43316,1.61644,1.06852,0.000923275,0.000923275,0.000923275
33,1396.89,2.21738,1.29496,1.01684,0.51582,0.41308,0.39974,0.24228,2.4079,1.59123,1.07983,0.0009208,0.0009208,0.0009208
34,1434.26,2.15841,1.2659,1.00702,0.512,0.40295,0.41339,0.25286,2.42734,1.52405,1.08422,0.000918325,0.000918325,0.000918325
35,1470.34,2.21529,1.27632,1.03352,0.47936,0.41901,0.41393,0.26498,2.3921,1.45062,1.06847,0.00091585,0.00091585,0.00091585
36,1507,2.18757,1.26862,1.03207,0.50762,0.39905,0.40791,0.26124,2.3928,1.48116,1.06606,0.000913375,0.000913375,0.000913375
37,1542.99,2.12586,1.21275,1.00614,0.46151,0.42714,0.4033,0.25441,2.42022,1.49141,1.07653,0.0009109,0.0009109,0.0009109
38,1580.18,2.17065,1.27349,1.02353,0.46151,0.42714,0.4033,0.25441,2.42022,1.49141,1.07653,0.000908425,0.000908425,0.000908425
39,1616.92,2.12794,1.19987,1.00394,0.47043,0.40422,0.40168,0.25933,2.40709,1.45417,1.08494,0.00090595,0.00090595,0.00090595
40,1652.46,2.14088,1.23657,1.00818,0.51476,0.41759,0.41175,0.26167,2.39873,1.48971,1.08601,0.000903475,0.000903475,0.000903475
41,1688.48,2.20261,1.25052,1.01092,0.50097,0.44416,0.42932,0.26962,2.33845,1.43046,1.0655,0.000901,0.000901,0.000901
42,1724.32,2.17002,1.28092,1.02294,0.59486,0.40588,0.43078,0.2648,2.3685,1.41985,1.06232,0.000898525,0.000898525,0.000898525
43,1760.44,2.16027,1.2314,0.99423,0.47367,0.44019,0.42632,0.25922,2.41099,1.42905,1.06581,0.00089605,0.00089605,0.00089605
44,1796.46,2.10413,1.2035,0.97598,0.5723,0.39908,0.42276,0.26102,2.36896,1.40698,1.07546,0.000893575,0.000893575,0.000893575
45,1832.75,2.11365,1.20289,1.00259,0.49985,0.41871,0.39636,0.24403,2.43635,1.45977,1.09804,0.0008911,0.0008911,0.0008911
46,1868.51,2.17857,1.25898,1.01569,0.49985,0.41871,0.39636,0.24403,2.43635,1.45977,1.09804,0.000888625,0.000888625,0.000888625
47,1904.13,2.16316,1.22206,1.0076,0.50814,0.39739,0.39439,0.24032,2.41697,1.40445,1.0852,0.00088615,0.00088615,0.00088615
48,1940.39,2.08116,1.24577,1.0117,0.57072,0.39413,0.41561,0.26026,2.33787,1.40713,1.07207,0.000883675,0.000883675,0.000883675
49,1977.77,2.13677,1.24702,1.01572,0.55356,0.42577,0.42286,0.26071,2.36207,1.36615,1.07852,0.0008812,0.0008812,0.0008812
50,2014.18,2.1092,1.22622,1.0208,0.57253,0.39217,0.41749,0.23671,2.5197,1.45585,1.10721,0.000878725,0.000878725,0.000878725
51,2050.32,2.17229,1.22084,0.99678,0.59548,0.40464,0.41196,0.22785,2.45391,1.40999,1.12002,0.00087625,0.00087625,0.00087625
52,2085.52,2.13077,1.2127,1.01772,0.61673,0.41451,0.41174,0.24694,2.33475,1.3613,1.07997,0.000873775,0.000873775,0.000873775
53,2121.56,2.06143,1.16607,0.99587,0.56965,0.41097,0.39274,0.24172,2.38214,1.40281,1.0703,0.0008713,0.0008713,0.0008713
54,2157.38,2.09914,1.19873,0.97888,0.56965,0.41097,0.39274,0.24172,2.38214,1.40281,1.0703,0.000868825,0.000868825,0.000868825
55,2193.36,2.17235,1.22681,1.00274,0.54526,0.41942,0.40513,0.25161,2.32506,1.39213,1.0662,0.00086635,0.00086635,0.00086635
56,2229.54,2.03527,1.14168,0.99213,0.57348,0.41209,0.42043,0.26988,2.284,1.33916,1.07225,0.000863875,0.000863875,0.000863875
57,2264.12,2.08886,1.19343,1.00424,0.56421,0.4201,0.42025,0.25582,2.29695,1.33377,1.06748,0.0008614,0.0008614,0.0008614
58,2300.1,2.07273,1.18372,0.994,0.77396,0.29109,0.40935,0.23679,2.41936,1.40553,1.0903,0.000858925,0.000858925,0.000858925
59,2335.37,2.10156,1.22004,0.99062,0.76825,0.34254,0.41872,0.24748,2.38652,1.39143,1.085,0.00085645,0.00085645,0.00085645
60,2370.98,2.08865,1.20668,1.01468,0.61282,0.40771,0.42839,0.26078,2.28838,1.38522,1.07083,0.000853975,0.000853975,0.000853975
61,2406.04,2.06981,1.14588,0.98192,0.69745,0.3628,0.43321,0.25926,2.30245,1.40509,1.06577,0.0008515,0.0008515,0.0008515
62,2441.41,2.02796,1.17351,0.98725,0.69745,0.3628,0.43321,0.25926,2.30245,1.40509,1.06577,0.000849025,0.000849025,0.000849025
63,2476.54,2.07029,1.18325,0.99697,0.80209,0.25806,0.42815,0.25801,2.37784,1.42523,1.08356,0.00084655,0.00084655,0.00084655
64,2512.47,2.01781,1.17003,0.98148,0.79994,0.27654,0.43457,0.26451,2.35398,1.38129,1.08205,0.000844075,0.000844075,0.000844075
65,2547.62,2.01095,1.16765,0.99692,0.53369,0.41347,0.43576,0.27064,2.29757,1.28778,1.06134,0.0008416,0.0008416,0.0008416
66,2583.6,2.07355,1.15274,0.98493,0.65512,0.39874,0.4369,0.2733,2.30869,1.33249,1.0593,0.000839125,0.000839125,0.000839125
67,2619.23,2.06015,1.12849,0.96122,0.56748,0.40572,0.41172,0.2579,2.43507,1.45313,1.07144,0.00083665,0.00083665,0.00083665
68,2654.55,2.0072,1.1141,0.96451,0.60542,0.38647,0.42076,0.25028,2.47679,1.47205,1.0752,0.000834175,0.000834175,0.000834175
69,2690.54,2.04225,1.16418,0.99213,0.58864,0.40996,0.42973,0.26514,2.34933,1.34702,1.07297,0.0008317,0.0008317,0.0008317
70,2725.66,2.00613,1.10442,0.95129,0.58864,0.40996,0.42973,0.26514,2.34933,1.34702,1.07297,0.000829225,0.000829225,0.000829225
71,2760.61,2.02038,1.1122,0.98094,0.51397,0.4561,0.43681,0.26838,2.33008,1.33216,1.07049,0.00082675,0.00082675,0.00082675
72,2796.11,2.00709,1.09727,0.98024,0.5346,0.42648,0.41999,0.25389,2.42861,1.40863,1.08888,0.000824275,0.000824275,0.000824275
73,2831.93,1.9654,1.06463,0.96511,0.55221,0.40651,0.41209,0.25963,2.43651,1.42191,1.09655,0.0008218,0.0008218,0.0008218
74,2867.6,2.0855,1.13616,0.99014,0.54128,0.4251,0.42462,0.26819,2.3286,1.34605,1.08218,0.000819325,0.000819325,0.000819325
75,2903.01,1.98937,1.09847,0.9742,0.59152,0.43805,0.43395,0.27247,2.29517,1.32367,1.07773,0.00081685,0.00081685,0.00081685
76,2937.61,1.98159,1.1101,0.97786,0.58803,0.42919,0.42864,0.2552,2.39303,1.36291,1.08845,0.000814375,0.000814375,0.000814375
77,2973.94,2.06945,1.11548,0.95657,0.56845,0.43892,0.42612,0.2548,2.37782,1.33472,1.09029,0.0008119,0.0008119,0.0008119
78,3009.76,2.07445,1.14577,0.96087,0.56845,0.43892,0.42612,0.2548,2.37782,1.33472,1.09029,0.000809425,0.000809425,0.000809425
79,3044.92,1.95829,1.09775,0.96943,0.54048,0.43577,0.42728,0.26689,2.32151,1.31753,1.09191,0.00080695,0.00080695,0.00080695
80,3079.94,1.9528,1.0681,0.96063,0.56291,0.42233,0.42221,0.26904,2.30068,1.28665,1.07543,0.000804475,0.000804475,0.000804475
81,3114.53,1.99193,1.10135,0.95927,0.54192,0.4241,0.41407,0.25739,2.34299,1.32071,1.08435,0.000802,0.000802,0.000802
82,3149.08,1.97818,1.0968,0.96566,0.54011,0.43482,0.42341,0.25997,2.33814,1.29076,1.1011,0.000799525,0.000799525,0.000799525
83,3183.79,1.93388,1.05153,0.96181,0.53846,0.44549,0.42149,0.26037,2.33737,1.32607,1.10836,0.00079705,0.00079705,0.00079705
84,3218.64,1.98732,1.06934,0.96725,0.66721,0.38495,0.41895,0.25205,2.42645,1.39625,1.10658,0.000794575,0.000794575,0.000794575
85,3254.16,1.95083,1.06871,0.96074,0.60504,0.43878,0.45084,0.26489,2.42106,1.37233,1.10676,0.0007921,0.0007921,0.0007921
86,3290.66,1.9847,1.06195,0.96949,0.60504,0.43878,0.45084,0.26489,2.42106,1.37233,1.10676,0.000789625,0.000789625,0.000789625
