epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,358.331,2.10942,1.21771,1.01086,0.46982,0.43092,0.42252,0.26191,2.3008,1.31799,1.08434,0.0005941,0.0005941,0.0005941
43,363.897,2.15808,1.26735,1.01669,0.505,0.42215,0.42771,0.26409,2.29598,1.30852,1.08065,0.0005842,0.0005842,0.0005842
44,368.197,2.11082,1.22316,0.99412,0.50897,0.41816,0.41896,0.25852,2.39236,1.36241,1.10239,0.0005743,0.0005743,0.0005743
45,371.864,2.11135,1.20994,1.022,0.52664,0.41346,0.412,0.25619,2.36286,1.38136,1.09904,0.0005644,0.0005644,0.0005644
46,376.7,2.08866,1.19115,0.99035,0.52664,0.41346,0.412,0.25619,2.36286,1.38136,1.09904,0.0005545,0.0005545,0.0005545
47,382.421,2.09711,1.22676,1.01053,0.58382,0.40714,0.41174,0.26082,2.2915,1.37815,1.08497,0.0005446,0.0005446,0.0005446
48,389.582,2.08294,1.1753,1.00924,0.63749,0.40158,0.41498,0.2616,2.31336,1.37782,1.08565,0.0005347,0.0005347,0.0005347
49,393.878,2.08496,1.17326,0.98599,0.60467,0.38814,0.41033,0.25291,2.37994,1.40277,1.09196,0.0005248,0.0005248,0.0005248
50,400.121,2.07415,1.16234,0.98903,0.55167,0.39634,0.42009,0.25837,2.34855,1.39085,1.08365,0.0005149,0.0005149,0.0005149
51,406.186,2.04202,1.15265,0.97188,0.60428,0.39525,0.42526,0.26892,2.26883,1.34638,1.07517,0.000505,0.000505,0.000505
52,416.2,2.04945,1.19693,1.0018,0.61031,0.39452,0.42558,0.27754,2.24695,1.31702,1.05862,0.0004951,0.0004951,0.0004951
53,423.589,2.0739,1.17491,0.99872,0.62115,0.37491,0.41457,0.26944,2.28795,1.34893,1.07005,0.0004852,0.0004852,0.0004852
54,428.554,2.07942,1.16127,1.01204,0.62115,0.37491,0.41457,0.26944,2.28795,1.34893,1.07005,0.0004753,0.0004753,0.0004753
55,435.276,2.02548,1.14933,0.98352,0.52059,0.41695,0.40872,0.25206,2.34434,1.38704,1.1013,0.0004654,0.0004654,0.0004654
56,444.71,2.09521,1.14162,0.99021,0.5182,0.41975,0.41541,0.2565,2.35555,1.38577,1.10969,0.0004555,0.0004555,0.0004555
57,450.699,2.05429,1.14796,0.98658,0.59422,0.39702,0.43494,0.27559,2.32592,1.34807,1.09789,0.0004456,0.0004456,0.0004456
58,456.339,2.0274,1.16187,0.98197,0.61741,0.4084,0.44783,0.28717,2.28008,1.31596,1.08454,0.0004357,0.0004357,0.0004357
59,460.742,2.04519,1.1305,0.97148,0.63592,0.41033,0.45272,0.28707,2.28246,1.29974,1.07688,0.0004258,0.0004258,0.0004258
60,466.704,2.00684,1.16229,0.96407,0.62091,0.41738,0.44987,0.28186,2.29078,1.29274,1.07109,0.0004159,0.0004159,0.0004159
61,470.5,2.04246,1.13213,0.968,0.54165,0.42454,0.4423,0.27841,2.30698,1.3099,1.07248,0.000406,0.000406,0.000406
62,476.156,1.96614,1.10886,0.95578,0.54165,0.42454,0.4423,0.27841,2.30698,1.3099,1.07248,0.0003961,0.0003961,0.0003961
63,481.981,2.00738,1.12727,0.98846,0.51655,0.44344,0.43893,0.27526,2.30403,1.32301,1.0807,0.0003862,0.0003862,0.0003862
64,488.952,1.96334,1.11668,0.97315,0.5269,0.42731,0.42715,0.27221,2.2968,1.32877,1.07542,0.0003763,0.0003763,0.0003763
65,494.903,1.92863,1.10539,0.96801,0.52506,0.42676,0.42257,0.2687,2.32526,1.31965,1.06939,0.0003664,0.0003664,0.0003664
66,499.839,1.97912,1.10405,0.96311,0.5655,0.41276,0.42058,0.2651,2.32603,1.31578,1.07361,0.0003565,0.0003565,0.0003565
67,508.868,2.00111,1.10825,0.9712,0.57916,0.41304,0.42378,0.26974,2.30813,1.31681,1.07731,0.0003466,0.0003466,0.0003466
68,513.08,1.9473,1.13014,0.96238,0.5379,0.43994,0.43116,0.27072,2.31441,1.34513,1.09108,0.0003367,0.0003367,0.0003367
69,518.425,2.01067,1.11407,0.98739,0.58598,0.43813,0.43477,0.27052,2.30867,1.36557,1.09689,0.0003268,0.0003268,0.0003268
70,525.283,2.02093,1.12502,0.98043,0.58598,0.43813,0.43477,0.27052,2.30867,1.36557,1.09689,0.0003169,0.0003169,0.0003169
71,531.347,1.95721,1.09525,0.95988,0.58771,0.42792,0.43421,0.27433,2.2894,1.34176,1.09368,0.000307,0.000307,0.000307
72,536.426,1.95027,1.07407,0.967,0.59529,0.4184,0.43457,0.28089,2.25344,1.30844,1.08865,0.0002971,0.0002971,0.0002971
73,542.337,1.99137,1.09204,0.96502,0.55094,0.4383,0.43279,0.27855,2.26629,1.29395,1.08879,0.0002872,0.0002872,0.0002872
74,549.494,1.97153,1.08396,0.97317,0.56711,0.42549,0.42294,0.26708,2.29779,1.31636,1.09465,0.0002773,0.0002773,0.0002773
75,554.324,2.00904,1.10802,0.95802,0.59378,0.40996,0.41994,0.26087,2.3376,1.33618,1.09991,0.0002674,0.0002674,0.0002674
76,559.495,1.93098,1.06969,0.97559,0.60637,0.42638,0.42752,0.26368,2.31819,1.29993,1.10082,0.0002575,0.0002575,0.0002575
77,567.803,1.96291,1.06605,0.93654,0.60352,0.42917,0.43762,0.27662,2.2904,1.26279,1.09321,0.0002476,0.0002476,0.0002476
78,572.289,1.88987,1.02296,0.93759,0.60352,0.42917,0.43762,0.27662,2.2904,1.26279,1.09321,0.0002377,0.0002377,0.0002377
